Location,Longitude,Lattitude,Date,I 131 (Bq/m3)
RISOE,12.07,55.7,86/04/29,0.0147
RISOE,12.07,55.7,86/04/30,0.00075
RISOE,12.07,55.7,86/05/03,0.2239
RISOE,12.07,55.7,86/05/04,0.41
RISOE,12.07,55.7,86/05/04,0.264303
RISOE,12.07,55.7,86/05/05,0.362
RISOE,12.07,55.7,86/05/05,0.28
RISOE,12.07,55.7,86/05/06,0.334
RISOE,12.07,55.7,86/05/06,0.164
RISOE,12.07,55.7,86/05/07,0.496
RISOE,12.07,55.7,86/05/11,0.017902
RISOE,12.07,55.7,86/05/13,0.004299
RISOE,12.07,55.7,86/05/14,0.008252
RISOE,12.07,55.7,86/05/15,0.003245
RISOE,12.07,55.7,86/05/16,0.001505
RISOE,12.07,55.7,86/05/17,0.002772
RISOE,12.07,55.7,86/05/18,0.001664
RISOE,12.07,55.7,86/05/19,0.002248
RISOE,12.07,55.7,86/05/20,0.002507
RISOE,12.07,55.7,86/05/21,0.002007
RISOE,12.07,55.7,86/05/22,0.00281
RISOE,12.07,55.7,86/05/25,0.001805
RISOE,12.07,55.7,86/05/26,0.001029
RISOE,12.07,55.7,86/05/27,0.000517
RISOE,12.07,55.7,86/05/28,0.000482
RISOE,12.07,55.7,86/05/29,0.000533
AACHEN(DWD),6.1,50.76,86/05/02,1.905
AACHEN(DWD),6.1,50.76,86/05/03,2.257
AACHEN(DWD),6.1,50.76,86/05/04,0.684
AACHEN(DWD),6.1,50.76,86/05/06,0.054
AACHEN(DWD),6.1,50.76,86/05/07,0.04
AACHEN(DWD),6.1,50.76,86/05/08,0.0085
AACHEN(DWD),6.1,50.76,86/05/09,0.0067
AACHEN(DWD),6.1,50.76,86/05/10,0.0052
AACHEN(DWD),6.1,50.76,86/05/11,0.0063
AACHEN(DWD),6.1,50.76,86/05/12,0.006
AACHEN(DWD),6.1,50.76,86/05/19,0.0029
AACHEN(DWD),6.1,50.76,86/05/26,0.0017
BERLIN-WEST,13.42,52.5,86/04/30,2.64
BERLIN-WEST,13.42,52.5,86/05/01,0.85
BERLIN-WEST,13.42,52.5,86/05/02,0.09
BERLIN-WEST,13.42,52.5,86/05/03,0.215
BERLIN-WEST,13.42,52.5,86/05/04,0.814
BERLIN-WEST,13.42,52.5,86/05/05,0.533
BERLIN-WEST,13.42,52.5,86/05/06,0.451
BERLIN-WEST,13.42,52.5,86/05/07,0.728
BERLIN-WEST,13.42,52.5,86/05/08,0.26
BERLIN-WEST,13.42,52.5,86/05/09,0.012
BERLIN-WEST,13.42,52.5,86/05/10,0.01
BERLIN-WEST,13.42,52.5,86/05/11,0.0063
BERLIN-WEST,13.42,52.5,86/05/12,0.0053
BERLIN-WEST,13.42,52.5,86/05/19,0.0074
BERLIN-WEST,13.42,52.5,86/05/26,0.0012
FREIBURG(BZS),7.87,48,86/04/30,0.76
FREIBURG(BZS),7.87,48,86/05/01,0.77
FREIBURG(BZS),7.87,48,86/05/01,2.1
FREIBURG(BZS),7.87,48,86/05/01,3.8
FREIBURG(BZS),7.87,48,86/05/02,5.7
FREIBURG(BZS),7.87,48,86/05/02,5
FREIBURG(BZS),7.87,48,86/05/02,3.9
FREIBURG(BZS),7.87,48,86/05/02,2.6
FREIBURG(BZS),7.87,48,86/05/03,1.3
FREIBURG(BZS),7.87,48,86/05/03,1.46
FREIBURG(BZS),7.87,48,86/05/04,0.36
FREIBURG(BZS),7.87,48,86/05/05,0.13
FREIBURG(BZS),7.87,48,86/05/06,0.13
FREIBURG(BZS),7.87,48,86/05/06,0.18
FREIBURG(BZS),7.87,48,86/05/07,0.089
FREIBURG(BZS),7.87,48,86/05/07,0.015
FREIBURG(BZS),7.87,48,86/05/08,0.012
FREIBURG(BZS),7.87,48,86/05/08,0.015
FREIBURG(BZS),7.87,48,86/05/09,0.013
FREIBURG(BZS),7.87,48,86/05/10,0.01
FREIBURG(DWD),7.87,48,86/05/01,0.059
FREIBURG(DWD),7.87,48,86/05/02,5.66
FREIBURG(DWD),7.87,48,86/05/03,1.7
FREIBURG(DWD),7.87,48,86/05/04,5.44
FREIBURG(DWD),7.87,48,86/05/05,0.226
FREIBURG(DWD),7.87,48,86/05/09,0.222
FREIBURG(DWD),7.87,48,86/05/10,0.025
FREIBURG(DWD),7.87,48,86/05/16,0.0048
FREIBURG(DWD),7.87,48,86/05/23,0.003
FREIBURG(DWD),7.87,48,86/05/30,0.0017
GOETTINGEN,9.95,51.53,86/05/02,4.2
